;ENSCAFT00000014361_90_90;ENSCAFT00000049149_90_90;ENST00000258104_90_90;ENST00000394120_90_90;ENST00000409366_90_90;ENST00000409582_90_90;ENST00000409651_90_90;ENST00000409744_90_90;ENST00000409762_90_90;ENST00000410020_90_90;ENST00000410041_90_90;ENST00000413539_90_90;ENST00000429174_90_90;ENSMUST00000081904_90_90;ENSMUST00000089595_90_90;ENSMUST00000113818_90_90;ENSMUST00000113821_90_90;ENSMUST00000113823_90_90;ENSMUST00000153860_90_90;ENSMUST00000168387_90_90;ENSMUST00000203695_90_90;ENSMUST00000203803_90_90;ENSMUST00000204354_90_90;ENSMUST00000204591_90_90;ENSMUST00000204987_90_90
ENST00000413539_90_90;0.751;0.764;0.954;0.872;0.841;0.92;0.914;0.804;0.958;0.845;0.876;1.0;0.916;0.794;0.79;0.756;0.859;0.863;0.831;0.865;0.829;0.863;0.735;0.835;0.767
ENST00000429174_90_90;0.749;0.827;0.957;0.874;0.914;0.918;0.841;0.875;0.877;0.843;0.804;0.916;1.0;0.735;0.793;0.758;0.861;0.796;0.899;0.867;0.767;0.797;0.794;0.833;0.829
ENSMUST00000081904_90_90;0.814;0.767;0.756;0.822;0.796;0.793;0.863;0.821;0.819;0.861;0.893;0.794;0.735;1.0;0.918;0.954;0.842;0.914;0.815;0.797;0.961;0.847;0.916;0.881;0.885
ENSMUST00000089595_90_90;0.758;0.771;0.819;0.893;0.861;0.735;0.859;0.825;0.756;0.796;0.822;0.79;0.793;0.918;1.0;0.958;0.914;0.842;0.881;0.859;0.957;0.843;0.92;0.815;0.96
ENSMUST00000113818_90_90;0.777;0.793;0.782;0.853;0.825;0.754;0.822;0.851;0.778;0.821;0.849;0.756;0.758;0.954;0.958;1.0;0.875;0.871;0.845;0.825;0.918;0.807;0.957;0.841;0.92
ENSMUST00000113821_90_90;0.704;0.771;0.893;0.819;0.793;0.796;0.79;0.758;0.822;0.735;0.756;0.859;0.861;0.842;0.914;0.875;1.0;0.918;0.96;0.931;0.879;0.919;0.845;0.885;0.881
ENSMUST00000113823_90_90;0.754;0.768;0.822;0.756;0.735;0.861;0.794;0.754;0.893;0.793;0.819;0.863;0.796;0.914;0.842;0.871;0.918;1.0;0.885;0.863;0.883;0.923;0.841;0.96;0.815
ENSMUST00000153860_90_90;0.734;0.806;0.861;0.793;0.829;0.833;0.767;0.794;0.796;0.769;0.735;0.831;0.899;0.815;0.881;0.845;0.96;0.885;1.0;0.899;0.849;0.885;0.883;0.923;0.919
ENSMUST00000168387_90_90;0.715;0.781;0.897;0.827;0.802;0.806;0.8;0.769;0.831;0.747;0.767;0.865;0.867;0.797;0.859;0.825;0.931;0.863;0.899;1.0;0.83;0.863;0.799;0.835;0.833
ENSMUST00000203695_90_90;0.792;0.748;0.79;0.859;0.831;0.771;0.899;0.796;0.794;0.835;0.863;0.829;0.767;0.961;0.957;0.918;0.879;0.883;0.849;0.83;1.0;0.883;0.885;0.853;0.921
ENSMUST00000203803_90_90;0.754;0.719;0.823;0.757;0.736;0.801;0.795;0.704;0.827;0.74;0.761;0.863;0.797;0.847;0.843;0.807;0.919;0.923;0.885;0.863;0.883;1.0;0.781;0.889;0.816
ENSMUST00000204354_90_90;0.811;0.829;0.758;0.825;0.863;0.791;0.796;0.893;0.754;0.859;0.821;0.735;0.794;0.916;0.92;0.957;0.845;0.841;0.883;0.799;0.885;0.781;1.0;0.879;0.961
ENSMUST00000204591_90_90;0.787;0.802;0.796;0.735;0.769;0.899;0.771;0.791;0.861;0.829;0.793;0.835;0.833;0.881;0.815;0.841;0.885;0.96;0.923;0.835;0.853;0.889;0.879;1.0;0.851
ENSMUST00000204987_90_90;0.79;0.806;0.793;0.861;0.899;0.769;0.831;0.863;0.735;0.833;0.796;0.767;0.829;0.885;0.96;0.92;0.881;0.815;0.919;0.833;0.921;0.816;0.961;0.851;1.0
