;ENSBTAT00000008456_98;ENSBTAT00000078883_98;ENSBTAT00000012775_98;ENSBTAT00000066410_98;ENSBTAT00000020671_98;ENSBTAT00000034295_98;ENSBTAT00000067527_98;ENSBTAT00000069014_98;ENSBTAT00000064195_98;ENSBTAT00000076076_98;ENSCAFT00000007745_98;ENSCAFT00000084598_98;ENSCAFT00000092362_98;ENSCAFT00000010754_98;ENSCAFT00000028477_98;ENSCAFT00000065303_98;ENSCAFT00020001182_98;ENSCAFT00020025365_98;ENSCAFT00020032134_98;ENST00000250263_98;ENST00000519292_98;ENST00000520684_98;ENST00000521844_98;ENST00000523898_98;ENST00000372257_98;ENST00000372259_98;ENST00000452396_98;ENST00000456170_98;ENST00000457571_98;ENST00000479101_98;ENST00000489710_98;ENST00000649995_98;ENST00000300005_98;ENST00000357967_98;ENST00000563117_98;ENST00000564349_98;ENST00000568805_98;ENST00000569729_98;ENSGALT00000016435_98;ENSGALT00000054775_98;ENSGALT00000045747_98;ENSGALT00000091957_98;ENSGALT00000105328_98;ENSMUST00000033224_98;ENSMUST00000063902_98;ENSMUST00000106523_98;ENSMUST00000139192_98;ENSMUST00000150844_98;ENSMUST00000033927_98;ENSMUST00000210483_98;ENSMUST00000210884_98;ENSMUST00000037127_98;ENSMUST00000125312_98;ENSMUST00000144373_98
ENSCAFT00000007745_98;0.595;0.595;0.845;0.754;0.845;0.24;0.524;0.262;0.845;0.865;1.0;0.956;0.631;0.865;0.858;0.827;0.872;0.964;0.858;0.661;0.661;0.208;0.0;0.661;0.58;0.323;0.32;0.254;0.538;0.157;0.047;0.603;0.442;0.779;0.623;0.623;0.305;0.459;0.901;0.78;0.797;0.773;0.807;0.037;0.452;0.46;0.341;0.792;0.689;0.127;0.27;0.593;0.269;0.321
ENSCAFT00000084598_98;0.658;0.658;0.873;0.782;0.886;0.25;0.566;0.251;0.876;0.895;0.956;1.0;0.605;0.893;0.873;0.842;0.901;0.978;0.873;0.655;0.655;0.206;0.0;0.655;0.599;0.348;0.345;0.305;0.508;0.148;0.044;0.623;0.427;0.791;0.637;0.637;0.294;0.443;0.922;0.772;0.855;0.831;0.865;0.035;0.437;0.444;0.33;0.804;0.682;0.125;0.268;0.617;0.331;0.299
ENSCAFT00000092362_98;0.486;0.486;0.57;0.629;0.613;0.367;0.36;0.4;0.588;0.666;0.631;0.605;1.0;0.587;0.719;0.688;0.587;0.698;0.719;0.457;0.457;0.29;0.0;0.457;0.43;0.07;0.108;0.079;0.377;0.222;0.067;0.407;0.742;0.43;0.279;0.279;0.46;0.674;0.624;0.473;0.547;0.522;0.504;0.055;0.746;0.71;0.526;0.445;0.474;0.179;0.387;0.274;0.109;0.127
ENSCAFT00000010754_98;0.722;0.722;0.963;0.871;0.758;0.232;0.633;0.252;0.96;0.971;0.865;0.893;0.587;1.0;0.904;0.915;1.0;0.92;0.904;0.698;0.698;0.068;0.0;0.698;0.517;0.406;0.258;0.301;0.412;0.208;0.02;0.527;0.411;0.735;0.774;0.774;0.132;0.363;0.873;0.754;0.859;0.927;0.966;0.0;0.393;0.37;0.216;0.758;0.76;0.153;0.239;0.624;0.287;0.499
ENSCAFT00000028477_98;0.781;0.781;0.778;0.714;0.773;0.269;0.509;0.281;0.846;0.956;0.858;0.873;0.719;0.904;1.0;0.957;0.922;0.999;1.0;0.641;0.641;0.209;0.037;0.641;0.559;0.246;0.228;0.197;0.457;0.124;0.039;0.516;0.597;0.675;0.506;0.506;0.307;0.489;0.897;0.723;0.767;0.713;0.734;0.072;0.57;0.531;0.341;0.719;0.665;0.13;0.251;0.633;0.147;0.341
ENSCAFT00000065303_98;0.793;0.793;0.792;0.727;0.743;0.277;0.525;0.289;0.846;0.956;0.827;0.842;0.688;0.915;0.957;1.0;0.935;0.962;0.957;0.648;0.648;0.211;0.037;0.648;0.51;0.262;0.177;0.21;0.407;0.133;0.042;0.467;0.541;0.619;0.538;0.538;0.251;0.433;0.871;0.676;0.712;0.757;0.779;0.059;0.512;0.474;0.363;0.661;0.671;0.131;0.253;0.574;0.158;0.368
ENSCAFT00020001182_98;0.734;0.734;0.963;0.871;0.758;0.232;0.633;0.252;0.988;0.999;0.872;0.901;0.587;1.0;0.922;0.935;1.0;0.923;0.922;0.698;0.698;0.068;0.0;0.698;0.517;0.406;0.258;0.301;0.412;0.208;0.02;0.527;0.411;0.735;0.774;0.774;0.132;0.363;0.873;0.754;0.859;0.927;0.966;0.0;0.393;0.369;0.216;0.757;0.76;0.153;0.239;0.624;0.287;0.499
ENSCAFT00020025365_98;0.746;0.746;0.867;0.774;0.926;0.268;0.587;0.299;0.87;0.97;0.964;0.978;0.698;0.92;0.999;0.962;0.923;1.0;0.999;0.661;0.661;0.208;0.0;0.661;0.649;0.381;0.331;0.308;0.527;0.153;0.046;0.617;0.451;0.812;0.652;0.652;0.305;0.459;0.925;0.781;0.849;0.823;0.86;0.036;0.456;0.456;0.337;0.816;0.689;0.127;0.27;0.682;0.283;0.31
ENSCAFT00020032134_98;0.772;0.772;0.776;0.712;0.76;0.265;0.5;0.276;0.846;0.956;0.858;0.873;0.719;0.904;1.0;0.957;0.922;0.999;1.0;0.641;0.641;0.22;0.051;0.641;0.552;0.243;0.225;0.195;0.452;0.123;0.039;0.51;0.59;0.666;0.5;0.5;0.303;0.484;0.897;0.721;0.764;0.697;0.718;0.076;0.566;0.528;0.341;0.712;0.661;0.128;0.247;0.625;0.145;0.338
ENST00000250263_98;0.0;0.0;0.696;0.619;0.585;0.0;0.412;0.0;0.673;0.651;0.661;0.655;0.457;0.698;0.641;0.648;0.698;0.661;0.641;1.0;1.0;0.277;0.079;1.0;0.52;0.275;0.173;0.111;0.543;0.0;0.0;0.527;0.419;0.675;0.636;0.636;0.186;0.433;0.738;0.831;0.504;0.527;0.593;0.033;0.472;0.48;0.321;0.694;0.843;0.075;0.229;0.643;0.0;0.741
ENST00000519292_98;0.0;0.0;0.696;0.619;0.585;0.0;0.412;0.0;0.673;0.651;0.661;0.655;0.457;0.698;0.641;0.648;0.698;0.661;0.641;1.0;1.0;0.277;0.079;1.0;0.52;0.275;0.173;0.111;0.543;0.0;0.0;0.527;0.419;0.675;0.636;0.636;0.186;0.433;0.738;0.831;0.504;0.527;0.593;0.033;0.472;0.48;0.321;0.694;0.843;0.075;0.229;0.643;0.0;0.741
ENST00000520684_98;0.0;0.0;0.068;0.075;0.207;0.0;0.0;0.0;0.077;0.075;0.208;0.206;0.29;0.068;0.209;0.211;0.068;0.208;0.22;0.277;0.277;1.0;0.255;0.277;0.297;0.0;0.107;0.0;0.311;0.0;0.0;0.302;0.276;0.157;0.093;0.093;0.567;0.287;0.158;0.169;0.043;0.076;0.07;0.112;0.333;0.34;0.518;0.18;0.105;0.0;0.0;0.065;0.0;0.0
ENST00000521844_98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.037;0.037;0.0;0.0;0.051;0.079;0.079;0.255;1.0;0.079;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;0.014;0.0;0.0;0.048;0.024;0.0;0.017;0.048;0.0;0.0;0.633;0.067;0.069;0.104;0.037;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000523898_98;0.0;0.0;0.696;0.619;0.585;0.0;0.412;0.0;0.673;0.651;0.661;0.655;0.457;0.698;0.641;0.648;0.698;0.661;0.641;1.0;1.0;0.277;0.079;1.0;0.52;0.275;0.173;0.111;0.543;0.0;0.0;0.527;0.419;0.675;0.636;0.636;0.186;0.433;0.738;0.831;0.504;0.527;0.593;0.033;0.472;0.48;0.321;0.694;0.843;0.075;0.229;0.643;0.0;0.741
ENST00000372257_98;0.427;0.427;0.485;0.386;0.633;0.09;0.473;0.059;0.482;0.508;0.58;0.599;0.43;0.517;0.559;0.51;0.517;0.649;0.552;0.52;0.52;0.297;0.0;0.52;1.0;0.475;0.546;0.491;0.746;0.061;0.03;0.924;0.449;0.736;0.609;0.609;0.357;0.474;0.659;0.667;0.509;0.523;0.542;0.013;0.466;0.457;0.369;0.727;0.549;0.209;0.374;0.584;0.389;0.186
ENST00000372259_98;0.448;0.448;0.383;0.28;0.382;0.127;0.526;0.081;0.305;0.34;0.323;0.348;0.07;0.406;0.246;0.262;0.406;0.381;0.243;0.275;0.275;0.0;0.0;0.275;0.475;1.0;0.54;0.721;0.254;0.087;0.045;0.413;0.007;0.427;0.512;0.512;0.0;0.008;0.379;0.361;0.441;0.452;0.485;0.0;0.013;0.0;0.0;0.42;0.276;0.0;0.0;0.624;0.491;0.335
ENST00000452396_98;0.336;0.336;0.247;0.145;0.347;0.046;0.353;0.0;0.211;0.19;0.32;0.345;0.108;0.258;0.228;0.177;0.258;0.331;0.225;0.173;0.173;0.107;0.0;0.173;0.546;0.54;1.0;0.567;0.463;0.03;0.0;0.576;0.123;0.457;0.362;0.362;0.162;0.143;0.322;0.34;0.368;0.316;0.337;0.022;0.127;0.131;0.071;0.451;0.114;0.0;0.0;0.577;0.495;0.162
ENST00000456170_98;0.55;0.55;0.284;0.181;0.365;0.205;0.599;0.084;0.237;0.276;0.254;0.305;0.079;0.301;0.197;0.21;0.301;0.308;0.195;0.111;0.111;0.0;0.0;0.111;0.491;0.721;0.567;1.0;0.263;0.091;0.048;0.427;0.008;0.321;0.383;0.383;0.0;0.008;0.264;0.219;0.426;0.437;0.458;0.0;0.013;0.0;0.0;0.315;0.112;0.0;0.0;0.473;0.647;0.165
ENST00000457571_98;0.177;0.177;0.396;0.296;0.514;0.0;0.286;0.0;0.388;0.351;0.538;0.508;0.377;0.412;0.457;0.407;0.412;0.527;0.452;0.543;0.543;0.311;0.0;0.543;0.746;0.254;0.463;0.263;1.0;0.0;0.0;0.786;0.5;0.722;0.587;0.587;0.421;0.555;0.536;0.708;0.37;0.376;0.396;0.015;0.516;0.532;0.438;0.712;0.578;0.237;0.417;0.47;0.249;0.239
ENST00000479101_98;0.222;0.222;0.201;0.227;0.073;0.208;0.093;0.35;0.231;0.209;0.157;0.148;0.222;0.208;0.124;0.133;0.208;0.153;0.123;0.0;0.0;0.0;0.0;0.0;0.061;0.087;0.03;0.091;0.0;1.0;0.119;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.197;0.0;0.166;0.172;0.166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.185;0.0
ENST00000489710_98;0.086;0.086;0.059;0.067;0.034;0.111;0.084;0.121;0.024;0.045;0.047;0.044;0.067;0.02;0.039;0.042;0.02;0.046;0.039;0.0;0.0;0.0;0.0;0.0;0.03;0.045;0.0;0.048;0.0;0.119;1.0;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.007;0.0;0.064;0.065;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016;0.041;0.0
ENST00000649995_98;0.377;0.377;0.506;0.406;0.587;0.038;0.423;0.007;0.52;0.471;0.603;0.623;0.407;0.527;0.516;0.467;0.527;0.617;0.51;0.527;0.527;0.302;0.0;0.527;0.924;0.413;0.576;0.427;0.786;0.064;0.032;1.0;0.45;0.757;0.627;0.627;0.37;0.491;0.661;0.683;0.517;0.532;0.551;0.013;0.461;0.474;0.384;0.749;0.558;0.215;0.383;0.523;0.417;0.199
ENST00000300005_98;0.165;0.165;0.352;0.402;0.42;0.012;0.177;0.012;0.473;0.472;0.442;0.427;0.742;0.411;0.597;0.541;0.411;0.451;0.59;0.419;0.419;0.276;0.024;0.419;0.449;0.007;0.123;0.008;0.5;0.0;0.0;0.45;1.0;0.337;0.213;0.213;0.481;0.702;0.522;0.506;0.247;0.216;0.207;0.092;0.897;0.803;0.531;0.346;0.448;0.203;0.387;0.24;0.0;0.202
ENST00000357967_98;0.461;0.461;0.759;0.65;0.752;0.0;0.461;0.0;0.718;0.675;0.779;0.791;0.43;0.735;0.675;0.619;0.735;0.812;0.666;0.675;0.675;0.157;0.014;0.675;0.736;0.427;0.457;0.321;0.722;0.0;0.0;0.757;0.337;1.0;0.861;0.861;0.242;0.414;0.882;0.961;0.712;0.685;0.723;0.042;0.357;0.368;0.24;0.992;0.714;0.108;0.208;0.757;0.27;0.469
ENST00000563117_98;0.468;0.468;0.81;0.695;0.605;0.0;0.546;0.0;0.728;0.683;0.623;0.637;0.279;0.774;0.506;0.538;0.774;0.652;0.5;0.636;0.636;0.093;0.0;0.636;0.609;0.512;0.362;0.383;0.587;0.0;0.0;0.627;0.213;0.861;1.0;1.0;0.104;0.275;0.75;0.801;0.652;0.752;0.793;0.0;0.231;0.238;0.16;0.863;0.709;0.116;0.222;0.661;0.321;0.566
ENST00000564349_98;0.468;0.468;0.81;0.695;0.605;0.0;0.546;0.0;0.728;0.683;0.623;0.637;0.279;0.774;0.506;0.538;0.774;0.652;0.5;0.636;0.636;0.093;0.0;0.636;0.609;0.512;0.362;0.383;0.587;0.0;0.0;0.627;0.213;0.861;1.0;1.0;0.104;0.275;0.75;0.801;0.652;0.752;0.793;0.0;0.231;0.238;0.16;0.863;0.709;0.116;0.222;0.661;0.321;0.566
ENST00000568805_98;0.0;0.0;0.135;0.153;0.302;0.0;0.011;0.0;0.151;0.141;0.305;0.294;0.46;0.132;0.307;0.251;0.132;0.305;0.303;0.186;0.186;0.567;0.048;0.186;0.357;0.0;0.162;0.0;0.421;0.0;0.0;0.37;0.481;0.242;0.104;0.104;1.0;0.585;0.28;0.33;0.137;0.104;0.1;0.175;0.562;0.606;0.641;0.235;0.207;0.21;0.184;0.123;0.0;0.016
ENST00000569729_98;0.035;0.035;0.374;0.427;0.436;0.0;0.183;0.0;0.418;0.394;0.459;0.443;0.674;0.363;0.489;0.433;0.363;0.459;0.484;0.433;0.433;0.287;0.024;0.433;0.474;0.008;0.143;0.008;0.555;0.0;0.0;0.491;0.702;0.414;0.275;0.275;0.585;1.0;0.545;0.541;0.275;0.243;0.233;0.102;0.817;0.877;0.583;0.406;0.466;0.216;0.411;0.249;0.011;0.213
ENSGALT00000016435_98;0.634;0.634;0.889;0.826;0.812;0.107;0.491;0.134;0.908;0.89;0.901;0.922;0.624;0.873;0.897;0.871;0.873;0.925;0.897;0.738;0.738;0.158;0.0;0.738;0.659;0.379;0.322;0.264;0.536;0.197;0.007;0.661;0.522;0.882;0.75;0.75;0.28;0.545;1.0;0.852;0.814;0.819;0.853;0.021;0.534;0.536;0.351;0.883;0.774;0.151;0.278;0.65;0.287;0.426
ENSGALT00000054775_98;0.519;0.519;0.748;0.632;0.718;0.0;0.426;0.0;0.744;0.717;0.78;0.772;0.473;0.754;0.723;0.676;0.754;0.781;0.721;0.831;0.831;0.169;0.017;0.831;0.667;0.361;0.34;0.219;0.708;0.0;0.0;0.683;0.506;0.961;0.801;0.801;0.33;0.541;0.852;1.0;0.685;0.645;0.697;0.058;0.544;0.556;0.359;0.968;0.862;0.143;0.227;0.732;0.131;0.602
ENSGALT00000045747_98;0.754;0.754;0.855;0.802;0.735;0.273;0.647;0.242;0.816;0.839;0.797;0.855;0.547;0.859;0.767;0.712;0.859;0.849;0.764;0.504;0.504;0.043;0.048;0.504;0.509;0.441;0.368;0.426;0.37;0.166;0.064;0.517;0.247;0.712;0.652;0.652;0.137;0.275;0.814;0.685;1.0;0.895;0.869;0.054;0.267;0.269;0.145;0.72;0.528;0.153;0.217;0.637;0.393;0.336
ENSGALT00000091957_98;0.765;0.765;0.941;0.887;0.724;0.285;0.673;0.254;0.861;0.882;0.773;0.831;0.522;0.927;0.713;0.757;0.927;0.823;0.697;0.527;0.527;0.076;0.0;0.527;0.523;0.452;0.316;0.437;0.376;0.172;0.065;0.532;0.216;0.685;0.752;0.752;0.104;0.243;0.819;0.645;0.895;1.0;0.968;0.0;0.22;0.222;0.152;0.675;0.596;0.143;0.202;0.594;0.422;0.36
ENSGALT00000105328_98;0.758;0.758;0.977;0.885;0.755;0.276;0.708;0.245;0.88;0.901;0.807;0.865;0.504;0.966;0.734;0.779;0.966;0.86;0.718;0.593;0.593;0.07;0.0;0.593;0.542;0.485;0.337;0.458;0.396;0.166;0.064;0.551;0.207;0.723;0.793;0.793;0.1;0.233;0.853;0.697;0.869;0.968;1.0;0.0;0.212;0.213;0.145;0.714;0.659;0.132;0.185;0.63;0.405;0.4
ENSMUST00000033224_98;0.0;0.0;0.0;0.0;0.035;0.0;0.0;0.0;0.0;0.0;0.037;0.035;0.055;0.0;0.072;0.059;0.0;0.036;0.076;0.033;0.033;0.112;0.633;0.033;0.013;0.0;0.022;0.0;0.015;0.0;0.0;0.013;0.092;0.042;0.0;0.0;0.175;0.102;0.021;0.058;0.054;0.0;0.0;1.0;0.133;0.144;0.172;0.057;0.0;0.0;0.0;0.013;0.0;0.0
ENSMUST00000063902_98;0.077;0.077;0.364;0.415;0.436;0.019;0.191;0.019;0.451;0.452;0.452;0.437;0.746;0.393;0.57;0.512;0.393;0.456;0.566;0.472;0.472;0.333;0.067;0.472;0.466;0.013;0.127;0.013;0.516;0.0;0.0;0.461;0.897;0.357;0.231;0.231;0.562;0.817;0.534;0.544;0.267;0.22;0.212;0.133;1.0;0.863;0.583;0.368;0.473;0.219;0.415;0.256;0.0;0.214
ENSMUST00000106523_98;0.012;0.012;0.368;0.42;0.427;0.0;0.18;0.0;0.43;0.407;0.46;0.444;0.71;0.37;0.531;0.474;0.369;0.456;0.528;0.48;0.48;0.34;0.069;0.48;0.457;0.0;0.131;0.0;0.532;0.0;0.0;0.474;0.803;0.368;0.238;0.238;0.606;0.877;0.536;0.556;0.269;0.222;0.213;0.144;0.863;1.0;0.633;0.38;0.481;0.226;0.426;0.245;0.0;0.22
ENSMUST00000139192_98;0.0;0.0;0.219;0.248;0.331;0.0;0.057;0.0;0.245;0.23;0.341;0.33;0.526;0.216;0.341;0.363;0.216;0.337;0.341;0.321;0.321;0.518;0.104;0.321;0.369;0.0;0.071;0.0;0.438;0.0;0.0;0.384;0.531;0.24;0.16;0.16;0.641;0.583;0.351;0.359;0.145;0.152;0.145;0.172;0.583;0.633;1.0;0.253;0.309;0.372;0.422;0.058;0.0;0.018
ENSMUST00000150844_98;0.52;0.52;0.759;0.651;0.748;0.0;0.461;0.0;0.74;0.697;0.792;0.804;0.445;0.758;0.719;0.661;0.757;0.816;0.712;0.694;0.694;0.18;0.037;0.694;0.727;0.42;0.451;0.315;0.712;0.0;0.0;0.749;0.346;0.992;0.863;0.863;0.235;0.406;0.883;0.968;0.72;0.675;0.714;0.057;0.368;0.38;0.253;1.0;0.717;0.109;0.209;0.752;0.264;0.472
ENSMUST00000033927_98;0.0;0.0;0.76;0.689;0.609;0.0;0.424;0.0;0.736;0.708;0.689;0.682;0.474;0.76;0.665;0.671;0.76;0.689;0.661;0.843;0.843;0.105;0.0;0.843;0.549;0.276;0.114;0.112;0.578;0.0;0.0;0.558;0.448;0.714;0.709;0.709;0.207;0.466;0.774;0.862;0.528;0.596;0.659;0.0;0.473;0.481;0.309;0.717;1.0;0.144;0.288;0.622;0.0;0.786
ENSMUST00000210483_98;0.0;0.0;0.153;0.169;0.127;0.0;0.028;0.0;0.17;0.163;0.127;0.125;0.179;0.153;0.13;0.131;0.153;0.127;0.128;0.075;0.075;0.0;0.0;0.075;0.209;0.0;0.0;0.0;0.237;0.0;0.0;0.215;0.203;0.108;0.116;0.116;0.21;0.216;0.151;0.143;0.153;0.143;0.132;0.0;0.219;0.226;0.372;0.109;0.144;1.0;0.502;0.0;0.0;0.0
ENSMUST00000210884_98;0.0;0.0;0.239;0.263;0.27;0.0;0.203;0.0;0.264;0.254;0.27;0.268;0.387;0.239;0.251;0.253;0.239;0.27;0.247;0.229;0.229;0.0;0.0;0.229;0.374;0.0;0.0;0.0;0.417;0.0;0.0;0.383;0.387;0.208;0.222;0.222;0.184;0.411;0.278;0.227;0.217;0.202;0.185;0.0;0.415;0.426;0.422;0.209;0.288;0.502;1.0;0.063;0.0;0.128
ENSMUST00000037127_98;0.506;0.506;0.613;0.508;0.665;0.162;0.624;0.164;0.51;0.612;0.593;0.617;0.274;0.624;0.633;0.574;0.624;0.682;0.625;0.643;0.643;0.065;0.0;0.643;0.584;0.624;0.577;0.473;0.47;0.0;0.016;0.523;0.24;0.757;0.661;0.661;0.123;0.249;0.65;0.732;0.637;0.594;0.63;0.013;0.256;0.245;0.058;0.752;0.622;0.0;0.063;1.0;0.252;0.464
ENSMUST00000125312_98;0.527;0.527;0.282;0.259;0.256;0.092;0.351;0.059;0.288;0.254;0.269;0.331;0.109;0.287;0.147;0.158;0.287;0.283;0.145;0.0;0.0;0.0;0.0;0.0;0.389;0.491;0.495;0.647;0.249;0.185;0.041;0.417;0.0;0.27;0.321;0.321;0.0;0.011;0.287;0.131;0.393;0.422;0.405;0.0;0.0;0.0;0.0;0.264;0.0;0.0;0.0;0.252;1.0;0.041
ENSMUST00000144373_98;0.037;0.037;0.492;0.408;0.286;0.0;0.341;0.0;0.459;0.403;0.321;0.299;0.127;0.499;0.341;0.368;0.499;0.31;0.338;0.741;0.741;0.0;0.0;0.741;0.186;0.335;0.162;0.165;0.239;0.0;0.0;0.199;0.202;0.469;0.566;0.566;0.016;0.213;0.426;0.602;0.336;0.36;0.4;0.0;0.214;0.22;0.018;0.472;0.786;0.0;0.128;0.464;0.041;1.0
