;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENST00000507210_90_90;0.417;0.444;0.444;0.48;0.5;0.5;0.154;0.923;0.32;0.167;1.0;0.444;0.917;0.296;0.917;0.182;0.833;1.0;0.222;0.571;0.25;0.6;0.444;0.417;0.857;0.5;0.455;0.455;0.5;0.3;0.769;0.25;0.2;0.455
ENST00000508293_90_90;0.958;1.0;1.0;0.793;0.889;0.889;0.667;0.481;0.778;0.593;0.444;1.0;0.407;0.852;0.407;0.519;0.37;0.444;0.37;0.778;0.111;0.741;1.0;0.185;0.519;1.0;0.909;0.909;1.0;0.15;0.65;0.25;0.7;0.909
ENST00000508996_90_90;0.375;0.407;0.407;0.44;0.458;0.458;0.115;0.846;0.28;0.125;0.917;0.407;1.0;0.259;1.0;0.136;0.909;0.917;0.167;0.524;0.273;0.55;0.407;0.455;0.786;0.45;0.409;0.409;0.45;0.333;0.692;0.273;0.15;0.409
ENST00000509122_90_90;0.792;0.852;0.852;0.655;0.741;0.741;0.783;0.333;0.913;0.696;0.296;0.852;0.259;1.0;0.259;0.609;0.222;0.296;0.435;0.63;0.083;0.593;0.852;0.077;0.37;0.8;0.727;0.727;0.8;0.056;0.45;0.235;0.875;0.727
ENST00000509164_90_90;0.375;0.407;0.407;0.44;0.458;0.458;0.115;0.846;0.28;0.125;0.917;0.407;1.0;0.259;1.0;0.136;0.909;0.917;0.167;0.524;0.273;0.55;0.407;0.455;0.786;0.45;0.409;0.409;0.45;0.333;0.692;0.273;0.15;0.409
ENST00000509246_90_90;0.542;0.519;0.519;0.56;0.583;0.583;0.778;0.227;0.667;0.875;0.182;0.519;0.136;0.609;0.136;1.0;0.091;0.182;0.714;0.591;0.0;0.545;0.519;0.0;0.273;0.65;0.591;0.591;0.65;0.0;0.368;0.2;0.929;0.591
ENST00000509664_90_90;0.333;0.37;0.37;0.4;0.417;0.417;0.077;0.769;0.24;0.083;0.833;0.37;0.909;0.222;0.909;0.091;1.0;0.833;0.111;0.476;0.3;0.5;0.37;0.5;0.714;0.4;0.364;0.364;0.4;0.375;0.615;0.3;0.1;0.364
ENST00000509963_90_90;0.417;0.444;0.444;0.48;0.5;0.5;0.154;0.923;0.32;0.167;1.0;0.444;0.917;0.296;0.917;0.182;0.833;1.0;0.222;0.571;0.25;0.6;0.444;0.417;0.857;0.5;0.455;0.455;0.5;0.3;0.769;0.25;0.2;0.455
ENST00000510824_90_90;0.375;0.37;0.37;0.4;0.417;0.417;0.556;0.278;0.476;0.625;0.222;0.37;0.167;0.435;0.167;0.714;0.111;0.222;1.0;0.476;0.0;0.5;0.37;0.0;0.333;0.45;0.409;0.409;0.45;0.0;0.467;0.167;0.643;0.409
ENST00000511102_90_90;0.75;0.778;0.778;0.84;0.875;0.875;0.5;0.619;0.68;0.542;0.571;0.778;0.524;0.63;0.524;0.591;0.476;0.571;0.476;1.0;0.143;0.952;0.778;0.238;0.667;0.9;0.818;0.818;0.9;0.167;0.722;0.278;0.6;0.818
ENST00000511662_90_90;0.083;0.111;0.111;0.12;0.125;0.125;0.0;0.231;0.091;0.0;0.25;0.111;0.273;0.083;0.273;0.0;0.3;0.25;0.0;0.143;1.0;0.15;0.111;0.6;0.214;0.1;0.091;0.091;0.1;0.667;0.154;0.0;0.0;0.091
ENST00000512236_90_90;0.708;0.741;0.741;0.8;0.833;0.833;0.462;0.65;0.64;0.5;0.6;0.741;0.55;0.593;0.55;0.545;0.5;0.6;0.5;0.952;0.15;1.0;0.741;0.25;0.7;0.85;0.773;0.773;0.85;0.176;0.765;0.294;0.55;0.773
ENST00000513391_90_90;0.958;1.0;1.0;0.793;0.889;0.889;0.667;0.481;0.778;0.593;0.444;1.0;0.407;0.852;0.407;0.519;0.37;0.444;0.37;0.778;0.111;0.741;1.0;0.185;0.519;1.0;0.909;0.909;1.0;0.15;0.65;0.25;0.7;0.909
ENST00000513641_90_90;0.167;0.185;0.185;0.2;0.208;0.208;0.0;0.385;0.083;0.0;0.417;0.185;0.455;0.077;0.455;0.0;0.5;0.417;0.0;0.238;0.6;0.25;0.185;1.0;0.357;0.2;0.182;0.182;0.2;0.75;0.308;0.0;0.0;0.182
ENST00000514981_90_90;0.5;0.519;0.519;0.56;0.583;0.583;0.231;0.929;0.4;0.25;0.857;0.519;0.786;0.37;0.786;0.273;0.714;0.857;0.333;0.667;0.214;0.7;0.519;0.357;1.0;0.6;0.545;0.545;0.6;0.25;0.923;0.214;0.3;0.545
ENSMUST00000031038_90_90;0.963;1.0;1.0;0.909;1.0;1.0;0.7;0.55;0.8;0.7;0.5;1.0;0.45;0.8;0.45;0.65;0.4;0.5;0.45;0.9;0.1;0.85;1.0;0.2;0.6;1.0;0.812;0.812;0.933;0.133;0.567;0.226;0.6;0.812
ENSMUST00000071081_90_90;1.0;0.909;0.909;1.0;0.909;0.909;0.636;0.5;0.727;0.636;0.455;0.909;0.409;0.727;0.409;0.591;0.364;0.455;0.409;0.818;0.091;0.773;0.909;0.182;0.545;0.812;1.0;1.0;0.867;0.143;0.552;0.241;0.586;1.0
ENSMUST00000166823_90_90;1.0;0.909;0.909;1.0;0.909;0.909;0.636;0.5;0.727;0.636;0.455;0.909;0.409;0.727;0.409;0.591;0.364;0.455;0.409;0.818;0.091;0.773;0.909;0.182;0.545;0.812;1.0;1.0;0.867;0.143;0.552;0.241;0.586;1.0
ENSMUST00000200935_90_90;0.963;1.0;1.0;0.909;1.0;1.0;0.7;0.55;0.8;0.7;0.5;1.0;0.45;0.8;0.45;0.65;0.4;0.5;0.45;0.9;0.1;0.85;1.0;0.2;0.6;0.933;0.867;0.867;1.0;0.143;0.607;0.241;0.586;0.867
ENSMUST00000201505_90_90;0.148;0.15;0.15;0.136;0.15;0.15;0.0;0.273;0.056;0.0;0.3;0.15;0.333;0.056;0.333;0.0;0.375;0.3;0.0;0.167;0.667;0.176;0.15;0.75;0.25;0.133;0.143;0.143;0.143;1.0;0.235;0.0;0.0;0.143
ENSMUST00000201556_90_90;0.593;0.65;0.65;0.591;0.65;0.65;0.35;0.846;0.45;0.35;0.769;0.65;0.692;0.45;0.692;0.368;0.615;0.769;0.467;0.722;0.154;0.765;0.65;0.308;0.923;0.567;0.552;0.552;0.607;0.235;1.0;0.19;0.25;0.552
ENSMUST00000201739_90_90;0.259;0.25;0.25;0.227;0.25;0.25;0.188;0.231;0.235;0.188;0.25;0.25;0.273;0.235;0.273;0.2;0.3;0.25;0.167;0.278;0.0;0.294;0.25;0.0;0.214;0.226;0.241;0.241;0.241;0.0;0.19;1.0;0.182;0.241
ENSMUST00000202237_90_90;0.63;0.7;0.7;0.636;0.7;0.7;1.0;0.25;0.875;1.0;0.2;0.7;0.15;0.875;0.15;0.929;0.1;0.2;0.643;0.6;0.0;0.55;0.7;0.0;0.3;0.6;0.586;0.586;0.586;0.0;0.25;0.182;1.0;0.586
ENSMUST00000202250_90_90;1.0;0.909;0.909;1.0;0.909;0.909;0.636;0.5;0.727;0.636;0.455;0.909;0.409;0.727;0.409;0.591;0.364;0.455;0.409;0.818;0.091;0.773;0.909;0.182;0.545;0.812;1.0;1.0;0.867;0.143;0.552;0.241;0.586;1.0
