;ENSCAFT00000006410_90_90;ENSCAFT00000006413_90_90;ENSCAFT00000011282_90_90;ENST00000229471_90_90;ENST00000354650_90_90;ENST00000368667_90_90;ENST00000368678_90_90;ENST00000368682_90_90;ENST00000462598_90_90;ENST00000462856_90_90;ENST00000484067_90_90;ENST00000487824_90_90;ENST00000517419_90_90;ENST00000518295_90_90;ENST00000518630_90_90;ENST00000520518_90_90;ENST00000521062_90_90;ENST00000523238_90_90;ENST00000523570_90_90;ENST00000523574_90_90;ENST00000524310_90_90;ENST00000538466_90_90;ENST00000519728_90_90;ENST00000520050_90_90;ENST00000520220_90_90;ENSMUST00000063091_90_90;ENSMUST00000099967_90_90;ENSMUST00000126486_90_90;ENSMUST00000135242_90_90;ENSMUST00000136659_90_90;ENSMUST00000146287_90_90;ENSMUST00000148152_90_90;ENSMUST00000157009_90_90;ENSMUST00000041377_90_90;ENSMUST00000103010_90_90
ENST00000523574_90_90;0.425;0.079;0.38;0.491;0.437;0.437;0.461;0.461;0.528;0.698;0.752;0.454;0.821;0.907;0.904;0.784;0.72;0.923;0.879;1.0;0.964;0.461;0.38;0.794;0.311;0.461;0.437;0.461;0.461;0.491;0.461;0.817;0.242;0.38;0.311
ENST00000524310_90_90;0.442;0.098;0.402;0.509;0.453;0.453;0.478;0.478;0.51;0.724;0.725;0.438;0.851;0.941;0.871;0.813;0.695;0.958;0.847;0.964;1.0;0.478;0.402;0.837;0.333;0.478;0.453;0.478;0.478;0.509;0.478;0.788;0.233;0.402;0.333
ENST00000538466_90_90;0.892;0.566;0.899;0.927;0.833;0.833;1.0;1.0;0.248;0.632;0.344;0.207;0.554;0.509;0.427;0.577;0.328;0.496;0.413;0.461;0.478;1.0;0.897;0.528;0.828;1.0;0.833;1.0;1.0;0.927;1.0;0.376;0.107;0.897;0.828
ENST00000519728_90_90;0.996;0.577;1.0;0.88;0.979;0.979;0.897;0.897;0.202;0.589;0.282;0.183;0.498;0.443;0.342;0.526;0.261;0.426;0.323;0.38;0.402;0.897;1.0;0.462;0.922;0.897;0.979;0.897;0.897;0.88;0.897;0.305;0.118;1.0;0.922
ENST00000520050_90_90;0.476;0.196;0.462;0.543;0.487;0.487;0.528;0.528;0.405;0.785;0.583;0.373;0.96;0.915;0.694;0.905;0.545;0.889;0.662;0.794;0.837;0.528;0.462;1.0;0.384;0.528;0.487;0.528;0.528;0.543;0.528;0.633;0.245;0.462;0.384
ENST00000520220_90_90;0.927;0.615;0.922;0.811;0.91;0.91;0.828;0.828;0.133;0.52;0.212;0.115;0.43;0.374;0.273;0.458;0.193;0.357;0.254;0.311;0.333;0.828;0.922;0.384;1.0;0.828;0.91;0.828;0.828;0.811;0.828;0.236;0.07;0.922;1.0
ENSMUST00000063091_90_90;0.892;0.566;0.899;0.927;0.833;0.833;1.0;1.0;0.248;0.632;0.344;0.207;0.554;0.509;0.427;0.577;0.328;0.496;0.413;0.461;0.478;1.0;0.897;0.528;0.828;1.0;0.833;1.0;1.0;0.927;1.0;0.376;0.107;0.897;0.828
ENSMUST00000099967_90_90;0.977;0.515;0.982;0.892;1.0;1.0;0.833;0.833;0.236;0.603;0.327;0.197;0.527;0.484;0.405;0.548;0.312;0.472;0.392;0.437;0.453;0.833;0.979;0.487;0.91;0.833;1.0;0.833;0.833;0.892;0.833;0.356;0.102;0.979;0.91
ENSMUST00000126486_90_90;0.892;0.566;0.899;0.927;0.833;0.833;1.0;1.0;0.248;0.632;0.344;0.207;0.554;0.509;0.427;0.577;0.328;0.496;0.413;0.461;0.478;1.0;0.897;0.528;0.828;1.0;0.833;1.0;1.0;0.927;1.0;0.376;0.107;0.897;0.828
ENSMUST00000135242_90_90;0.892;0.566;0.899;0.927;0.833;0.833;1.0;1.0;0.248;0.632;0.344;0.207;0.554;0.509;0.427;0.577;0.328;0.496;0.413;0.461;0.478;1.0;0.897;0.528;0.828;1.0;0.833;1.0;1.0;0.927;1.0;0.376;0.107;0.897;0.828
ENSMUST00000136659_90_90;0.881;0.572;0.883;1.0;0.892;0.892;0.927;0.927;0.265;0.677;0.367;0.221;0.593;0.543;0.456;0.617;0.35;0.53;0.441;0.491;0.509;0.927;0.88;0.543;0.811;0.927;0.892;0.927;0.927;1.0;0.927;0.4;0.115;0.88;0.811
ENSMUST00000146287_90_90;0.892;0.566;0.899;0.927;0.833;0.833;1.0;1.0;0.248;0.632;0.344;0.207;0.554;0.509;0.427;0.577;0.328;0.496;0.413;0.461;0.478;1.0;0.897;0.528;0.828;1.0;0.833;1.0;1.0;0.927;1.0;0.376;0.107;0.897;0.828
ENSMUST00000148152_90_90;0.362;0.0;0.305;0.4;0.356;0.356;0.376;0.376;0.647;0.57;0.921;0.555;0.67;0.74;0.907;0.641;0.883;0.754;0.933;0.817;0.788;0.376;0.305;0.633;0.236;0.376;0.356;0.376;0.376;0.4;0.376;1.0;0.297;0.305;0.236
ENSMUST00000157009_90_90;0.104;0.0;0.118;0.115;0.102;0.102;0.107;0.107;0.462;0.167;0.322;0.533;0.199;0.22;0.271;0.19;0.336;0.223;0.278;0.242;0.233;0.107;0.118;0.245;0.07;0.107;0.102;0.107;0.107;0.115;0.107;0.297;1.0;0.118;0.07
ENSMUST00000041377_90_90;0.996;0.577;1.0;0.88;0.979;0.979;0.897;0.897;0.202;0.589;0.282;0.183;0.498;0.443;0.342;0.526;0.261;0.426;0.323;0.38;0.402;0.897;1.0;0.462;0.922;0.897;0.979;0.897;0.897;0.88;0.897;0.305;0.118;1.0;0.922
ENSMUST00000103010_90_90;0.927;0.615;0.922;0.811;0.91;0.91;0.828;0.828;0.133;0.52;0.212;0.115;0.43;0.374;0.273;0.458;0.193;0.357;0.254;0.311;0.333;0.828;0.922;0.384;1.0;0.828;0.91;0.828;0.828;0.811;0.828;0.236;0.07;0.922;1.0
