;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript22_ENSPEMG00000024651;0.287;0.251;0.287;0.287;0.302;0.113;0.12;0.809;0.803;0.809;1.0;0.809;0.809;0.798;0.775;0.792;0.799;0.941;0.941;0.996;0.538;0.789;0.523;0.525;0.789;0.728;0.789
transcript26_ENSCGRG00000018457;0.294;0.26;0.294;0.294;0.312;0.112;0.117;1.0;0.952;1.0;0.809;1.0;1.0;0.973;0.95;0.929;0.977;0.771;0.771;0.805;0.646;0.976;0.632;0.634;0.976;0.884;0.976
transcript26_ENSCGRG00001010245;0.294;0.26;0.294;0.294;0.312;0.112;0.117;1.0;0.952;1.0;0.809;1.0;1.0;0.973;0.95;0.929;0.977;0.771;0.771;0.805;0.646;0.976;0.632;0.634;0.976;0.884;0.976
transcript42_ENSCGRG00000018457;0.302;0.267;0.302;0.302;0.32;0.115;0.12;0.973;0.926;0.973;0.798;0.973;0.973;1.0;0.973;0.933;0.982;0.754;0.754;0.795;0.62;0.95;0.606;0.608;0.95;0.858;0.95
transcript43_ENSCGRG00000018457;0.309;0.274;0.309;0.309;0.328;0.117;0.123;0.95;0.903;0.95;0.775;0.95;0.95;0.973;1.0;0.924;0.973;0.732;0.732;0.775;0.597;0.927;0.583;0.585;0.927;0.836;0.927
transcript7_ENSCGRG00001010245;0.316;0.28;0.316;0.316;0.335;0.12;0.126;0.929;0.976;0.929;0.792;0.929;0.929;0.933;0.924;1.0;0.951;0.747;0.747;0.792;0.576;0.907;0.562;0.564;0.907;0.815;0.907
transcript29_ENSCGRG00001010245;0.301;0.266;0.301;0.301;0.319;0.114;0.12;0.977;0.929;0.977;0.799;0.977;0.977;0.982;0.973;0.951;1.0;0.755;0.755;0.798;0.623;0.953;0.609;0.611;0.953;0.862;0.953
transcript15_ENSPEMG00000024651;0.287;0.251;0.287;0.287;0.302;0.113;0.12;0.771;0.764;0.771;0.941;0.771;0.771;0.754;0.732;0.747;0.755;1.0;1.0;0.936;0.543;0.789;0.529;0.525;0.789;0.728;0.789
transcript24_ENSPEMG00000024651;0.287;0.251;0.287;0.287;0.302;0.113;0.12;0.771;0.764;0.771;0.941;0.771;0.771;0.754;0.732;0.747;0.755;1.0;1.0;0.936;0.543;0.789;0.529;0.525;0.789;0.728;0.789
transcript31_ENSPEMG00000024651;0.288;0.252;0.288;0.288;0.304;0.114;0.12;0.805;0.799;0.805;0.996;0.805;0.805;0.795;0.775;0.792;0.798;0.936;0.936;1.0;0.534;0.786;0.519;0.521;0.786;0.724;0.786
transcript5_ENSNGAG00000018584;0.248;0.215;0.248;0.248;0.259;0.102;0.104;0.646;0.599;0.646;0.538;0.646;0.646;0.62;0.597;0.576;0.623;0.543;0.543;0.534;1.0;0.653;0.979;0.974;0.653;0.614;0.653
transcript5_ENSSTOG00000019743;0.287;0.254;0.287;0.287;0.304;0.109;0.114;0.976;0.929;0.976;0.789;0.976;0.976;0.95;0.927;0.907;0.953;0.789;0.789;0.786;0.653;1.0;0.639;0.636;1.0;0.908;1.0
transcript17_ENSNGAG00000018584;0.229;0.197;0.229;0.229;0.241;0.085;0.087;0.632;0.585;0.632;0.523;0.632;0.632;0.606;0.583;0.562;0.609;0.529;0.529;0.519;0.979;0.639;1.0;0.995;0.639;0.6;0.639
transcript20_ENSNGAG00000018584;0.23;0.198;0.23;0.23;0.242;0.086;0.088;0.634;0.587;0.634;0.525;0.634;0.634;0.608;0.585;0.564;0.611;0.525;0.525;0.521;0.974;0.636;0.995;1.0;0.636;0.596;0.636
transcript12_ENSSTOG00000019743;0.287;0.254;0.287;0.287;0.304;0.109;0.114;0.976;0.929;0.976;0.789;0.976;0.976;0.95;0.927;0.907;0.953;0.789;0.789;0.786;0.653;1.0;0.639;0.636;1.0;0.908;1.0
transcript13_ENSSTOG00000019743;0.203;0.179;0.203;0.203;0.215;0.024;0.024;0.884;0.838;0.884;0.728;0.884;0.884;0.858;0.836;0.815;0.862;0.728;0.728;0.724;0.614;0.908;0.6;0.596;0.908;1.0;0.908
transcript14_ENSSTOG00000019743;0.287;0.254;0.287;0.287;0.304;0.109;0.114;0.976;0.929;0.976;0.789;0.976;0.976;0.95;0.927;0.907;0.953;0.789;0.789;0.786;0.653;1.0;0.639;0.636;1.0;0.908;1.0
