;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript22_ENSPEMG00000024651;0.241;0.22;0.241;0.241;0.251;0.1;0.104;0.879;0.828;0.879;1.0;0.879;0.879;0.867;0.846;0.817;0.868;0.951;0.951;0.997;0.691;0.859;0.67;0.672;0.859;0.803;0.859
transcript26_ENSCGRG00000018457;0.247;0.226;0.247;0.247;0.258;0.1;0.103;1.0;0.921;1.0;0.879;1.0;1.0;0.978;0.957;0.903;0.982;0.842;0.842;0.875;0.758;0.978;0.738;0.74;0.978;0.903;0.978
transcript26_ENSCGRG00001010245;0.247;0.226;0.247;0.247;0.258;0.1;0.103;1.0;0.921;1.0;0.879;1.0;1.0;0.978;0.957;0.903;0.982;0.842;0.842;0.875;0.758;0.978;0.738;0.74;0.978;0.903;0.978
transcript42_ENSCGRG00000018457;0.253;0.231;0.253;0.253;0.264;0.102;0.105;0.978;0.9;0.978;0.867;0.978;0.978;1.0;0.976;0.909;0.989;0.827;0.827;0.864;0.736;0.956;0.717;0.719;0.956;0.881;0.956
transcript43_ENSCGRG00000018457;0.258;0.237;0.258;0.258;0.27;0.104;0.107;0.957;0.879;0.957;0.846;0.957;0.957;0.976;1.0;0.895;0.976;0.806;0.806;0.845;0.716;0.935;0.696;0.698;0.935;0.861;0.935
transcript7_ENSCGRG00001010245;0.272;0.249;0.272;0.272;0.284;0.11;0.114;0.903;0.98;0.903;0.817;0.903;0.903;0.909;0.895;1.0;0.92;0.777;0.777;0.816;0.662;0.882;0.643;0.644;0.882;0.807;0.882
transcript29_ENSCGRG00001010245;0.252;0.231;0.252;0.252;0.263;0.102;0.105;0.982;0.903;0.982;0.868;0.982;0.982;0.989;0.976;0.92;1.0;0.829;0.829;0.867;0.739;0.959;0.72;0.722;0.959;0.885;0.959
transcript15_ENSPEMG00000024651;0.241;0.219;0.241;0.241;0.25;0.1;0.104;0.842;0.791;0.842;0.951;0.842;0.842;0.827;0.806;0.777;0.829;1.0;1.0;0.948;0.695;0.861;0.675;0.672;0.861;0.805;0.861
transcript24_ENSPEMG00000024651;0.241;0.219;0.241;0.241;0.25;0.1;0.104;0.842;0.791;0.842;0.951;0.842;0.842;0.827;0.806;0.777;0.829;1.0;1.0;0.948;0.695;0.861;0.675;0.672;0.861;0.805;0.861
transcript31_ENSPEMG00000024651;0.242;0.22;0.242;0.242;0.252;0.101;0.104;0.875;0.825;0.875;0.997;0.875;0.875;0.864;0.845;0.816;0.867;0.948;0.948;1.0;0.688;0.856;0.667;0.669;0.856;0.8;0.856
transcript5_ENSNGAG00000018584;0.213;0.193;0.213;0.213;0.219;0.091;0.092;0.758;0.68;0.758;0.691;0.758;0.758;0.736;0.716;0.662;0.739;0.695;0.695;0.688;1.0;0.768;0.976;0.972;0.768;0.729;0.768
transcript5_ENSSTOG00000019743;0.241;0.221;0.241;0.241;0.252;0.097;0.101;0.978;0.9;0.978;0.859;0.978;0.978;0.956;0.935;0.882;0.959;0.861;0.861;0.856;0.768;1.0;0.749;0.746;1.0;0.925;1.0
transcript17_ENSNGAG00000018584;0.19;0.17;0.19;0.19;0.197;0.069;0.07;0.738;0.661;0.738;0.67;0.738;0.738;0.717;0.696;0.643;0.72;0.675;0.675;0.667;0.976;0.749;1.0;0.996;0.749;0.71;0.749
transcript20_ENSNGAG00000018584;0.191;0.17;0.191;0.191;0.198;0.069;0.07;0.74;0.663;0.74;0.672;0.74;0.74;0.719;0.698;0.644;0.722;0.672;0.672;0.669;0.972;0.746;0.996;1.0;0.746;0.706;0.746
transcript12_ENSSTOG00000019743;0.241;0.221;0.241;0.241;0.252;0.097;0.101;0.978;0.9;0.978;0.859;0.978;0.978;0.956;0.935;0.882;0.959;0.861;0.861;0.856;0.768;1.0;0.749;0.746;1.0;0.925;1.0
transcript13_ENSSTOG00000019743;0.172;0.157;0.172;0.172;0.178;0.027;0.027;0.903;0.826;0.903;0.803;0.903;0.903;0.881;0.861;0.807;0.885;0.805;0.805;0.8;0.729;0.925;0.71;0.706;0.925;1.0;0.925
transcript14_ENSSTOG00000019743;0.241;0.221;0.241;0.241;0.252;0.097;0.101;0.978;0.9;0.978;0.859;0.978;0.978;0.956;0.935;0.882;0.959;0.861;0.861;0.856;0.768;1.0;0.749;0.746;1.0;0.925;1.0
