;ENSCAFT00000022395_90_90;ENST00000319481_90_90;ENST00000357041_90_90;ENST00000399441_90_90;ENST00000399443_90_90;ENST00000578013_90_90;ENST00000578055_90_90;ENST00000578091_90_90;ENST00000579851_90_90;ENST00000582645_90_90;ENST00000584119_90_90;ENST00000638614_90_90;ENSMUST00000074352_90_90;ENSMUST00000117361_90_90;ENSMUST00000118313_90_90;ENSMUST00000119043_90_90;ENSMUST00000119512_90_90;ENSMUST00000121774_90_90;ENSMUST00000121808_90_90;ENSMUST00000121888_90_90;ENSMUST00000122175_90_90;ENSMUST00000124570_90_90;ENSMUST00000143077_90_90;ENSMUST00000147197_90_90;ENSMUST00000155650_90_90
ENST00000584119_90_90;0.081;0.081;0.126;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.081;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000638614_90_90;0.06;0.06;0.093;0.0;0.145;0.0;0.416;0.0;0.0;0.0;0.0;1.0;0.06;0.145;0.145;0.145;0.106;0.068;0.145;0.145;0.0;0.0;0.204;0.0;0.182
ENSMUST00000074352_90_90;0.904;0.904;0.556;0.166;0.38;0.201;0.109;0.096;0.06;0.096;0.081;0.06;1.0;0.402;0.402;0.402;0.552;0.32;0.402;0.402;0.308;0.023;0.235;0.086;0.242
ENSMUST00000117361_90_90;0.402;0.38;0.621;0.0;0.908;0.476;0.282;0.0;0.0;0.0;0.0;0.145;0.402;1.0;1.0;1.0;0.725;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000118313_90_90;0.402;0.38;0.621;0.0;0.908;0.476;0.282;0.0;0.0;0.0;0.0;0.145;0.402;1.0;1.0;1.0;0.725;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000119043_90_90;0.402;0.38;0.621;0.0;0.908;0.476;0.282;0.0;0.0;0.0;0.0;0.145;0.402;1.0;1.0;1.0;0.725;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000119512_90_90;0.526;0.502;0.815;0.0;0.672;0.356;0.199;0.0;0.0;0.0;0.043;0.106;0.552;0.725;0.725;0.725;1.0;0.568;0.725;0.725;0.0;0.044;0.432;0.0;0.437
ENSMUST00000121774_90_90;0.32;0.32;0.527;0.0;0.769;0.597;0.124;0.0;0.0;0.0;0.0;0.068;0.32;0.769;0.769;0.769;0.568;1.0;0.769;0.769;0.0;0.0;0.381;0.0;0.132
ENSMUST00000121808_90_90;0.402;0.38;0.621;0.0;0.908;0.476;0.282;0.0;0.0;0.0;0.0;0.145;0.402;1.0;1.0;1.0;0.725;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000121888_90_90;0.402;0.38;0.621;0.0;0.908;0.476;0.282;0.0;0.0;0.0;0.0;0.145;0.402;1.0;1.0;1.0;0.725;0.769;1.0;1.0;0.0;0.063;0.612;0.0;0.3
ENSMUST00000122175_90_90;0.33;0.33;0.0;0.406;0.0;0.0;0.0;0.242;0.156;0.242;0.0;0.0;0.308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.223;0.0
ENSMUST00000124570_90_90;0.023;0.023;0.038;0.0;0.063;0.0;0.202;0.0;0.0;0.0;0.0;0.0;0.023;0.063;0.063;0.063;0.044;0.0;0.063;0.063;0.0;1.0;0.093;0.0;0.081
ENSMUST00000143077_90_90;0.235;0.214;0.346;0.0;0.528;0.087;0.322;0.0;0.0;0.0;0.0;0.204;0.235;0.612;0.612;0.612;0.432;0.381;0.612;0.612;0.0;0.093;1.0;0.0;0.412
ENSMUST00000147197_90_90;0.086;0.086;0.0;0.518;0.0;0.0;0.0;0.47;0.395;0.47;0.0;0.0;0.086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.223;0.0;0.0;1.0;0.0
ENSMUST00000155650_90_90;0.221;0.201;0.319;0.0;0.252;0.0;0.287;0.0;0.0;0.0;0.0;0.182;0.242;0.3;0.3;0.3;0.437;0.132;0.3;0.3;0.0;0.081;0.412;0.0;1.0
