;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENST00000532028_90_90;0.203;0.193;0.205;0.0;0.0;0.474;0.0;0.0;0.0;0.354;0.0;0.0;1.0;0.0;0.0;0.21;0.202;0.188;0.195;0.21;0.202;0.188;0.177;0.186;0.0;0.0;0.0;0.0;0.242;0.153;0.0;0.0;0.0
ENST00000532883_90_90;0.172;0.147;0.144;0.321;0.388;0.0;0.219;0.409;0.206;0.0;0.326;0.13;0.0;1.0;0.636;0.208;0.218;0.189;0.196;0.208;0.218;0.189;0.195;0.205;0.188;0.262;0.353;0.0;0.074;0.0;0.72;0.414;0.157
ENST00000533757_90_90;0.135;0.163;0.16;0.394;0.607;0.0;0.342;0.534;0.277;0.0;0.4;0.204;0.0;0.636;1.0;0.17;0.178;0.153;0.159;0.17;0.178;0.153;0.158;0.167;0.294;0.41;0.293;0.0;0.028;0.0;0.681;0.649;0.245
ENSMUST00000044036_90_90;0.821;0.734;0.79;0.295;0.11;0.113;0.068;0.263;0.148;0.135;0.298;0.037;0.21;0.208;0.17;1.0;0.909;0.895;0.855;1.0;0.909;0.895;0.825;0.794;0.058;0.081;0.354;0.101;0.84;0.278;0.223;0.12;0.046
ENSMUST00000068702_90_90;0.744;0.782;0.731;0.309;0.116;0.12;0.071;0.278;0.157;0.144;0.314;0.038;0.202;0.218;0.178;0.909;1.0;0.815;0.777;0.909;1.0;0.815;0.879;0.847;0.06;0.084;0.37;0.097;0.77;0.32;0.234;0.127;0.05
ENSMUST00000090586_90_90;0.924;0.834;0.892;0.308;0.1;0.101;0.061;0.238;0.134;0.12;0.299;0.034;0.188;0.189;0.153;0.895;0.815;1.0;0.961;0.895;0.815;1.0;0.928;0.881;0.052;0.073;0.414;0.197;0.75;0.248;0.202;0.109;0.042
ENSMUST00000111290_90_90;0.886;0.797;0.855;0.319;0.104;0.105;0.064;0.247;0.139;0.125;0.31;0.035;0.195;0.196;0.159;0.855;0.777;0.961;1.0;0.855;0.777;0.961;0.891;0.916;0.054;0.076;0.43;0.205;0.712;0.21;0.209;0.113;0.044
ENSMUST00000111291_90_90;0.821;0.734;0.79;0.295;0.11;0.113;0.068;0.263;0.148;0.135;0.298;0.037;0.21;0.208;0.17;1.0;0.909;0.895;0.855;1.0;0.909;0.895;0.825;0.794;0.058;0.081;0.354;0.101;0.84;0.278;0.223;0.12;0.046
ENSMUST00000111292_90_90;0.744;0.782;0.731;0.309;0.116;0.12;0.071;0.278;0.157;0.144;0.314;0.038;0.202;0.218;0.178;0.909;1.0;0.815;0.777;0.909;1.0;0.815;0.879;0.847;0.06;0.084;0.37;0.097;0.77;0.32;0.234;0.127;0.05
ENSMUST00000111293_90_90;0.924;0.834;0.892;0.308;0.1;0.101;0.061;0.238;0.134;0.12;0.299;0.034;0.188;0.189;0.153;0.895;0.815;1.0;0.961;0.895;0.815;1.0;0.928;0.881;0.052;0.073;0.414;0.197;0.75;0.248;0.202;0.109;0.042
ENSMUST00000111294_90_90;0.855;0.899;0.825;0.318;0.103;0.105;0.064;0.246;0.139;0.126;0.309;0.035;0.177;0.195;0.158;0.825;0.879;0.928;0.891;0.825;0.879;0.928;1.0;0.949;0.053;0.074;0.429;0.207;0.683;0.28;0.208;0.112;0.044
ENSMUST00000111297_90_90;0.809;0.851;0.779;0.32;0.108;0.111;0.067;0.26;0.146;0.133;0.311;0.037;0.186;0.205;0.167;0.794;0.847;0.881;0.916;0.794;0.847;0.881;0.949;1.0;0.057;0.079;0.452;0.218;0.65;0.241;0.219;0.118;0.046
ENSMUST00000128781_90_90;0.044;0.055;0.054;0.116;0.472;0.0;0.873;0.16;0.0;0.0;0.119;0.736;0.0;0.188;0.294;0.058;0.06;0.052;0.054;0.058;0.06;0.052;0.053;0.057;1.0;0.718;0.066;0.0;0.0;0.0;0.197;0.442;0.852
ENSMUST00000138995_90_90;0.065;0.077;0.076;0.163;0.657;0.0;0.824;0.222;0.0;0.0;0.167;0.528;0.0;0.262;0.41;0.081;0.084;0.073;0.076;0.081;0.084;0.073;0.074;0.079;0.718;1.0;0.106;0.0;0.0;0.0;0.275;0.615;0.611
ENSMUST00000159366_90_90;0.363;0.347;0.338;0.593;0.169;0.0;0.083;0.485;0.308;0.0;0.581;0.032;0.0;0.353;0.293;0.354;0.37;0.414;0.43;0.354;0.37;0.414;0.429;0.452;0.066;0.106;1.0;0.181;0.247;0.0;0.385;0.184;0.048
ENSMUST00000159727_90_90;0.201;0.211;0.191;0.069;0.0;0.0;0.0;0.0;0.0;0.0;0.054;0.0;0.0;0.0;0.0;0.101;0.097;0.197;0.205;0.101;0.097;0.197;0.207;0.218;0.0;0.0;0.181;1.0;0.099;0.0;0.0;0.0;0.0
ENSMUST00000159961_90_90;0.711;0.601;0.669;0.17;0.0;0.131;0.0;0.129;0.119;0.155;0.171;0.0;0.242;0.074;0.028;0.84;0.77;0.75;0.712;0.84;0.77;0.75;0.683;0.65;0.0;0.0;0.247;0.099;1.0;0.317;0.086;0.0;0.0
ENSMUST00000161067_90_90;0.253;0.286;0.255;0.0;0.0;0.11;0.0;0.0;0.0;0.298;0.0;0.0;0.153;0.0;0.0;0.278;0.32;0.248;0.21;0.278;0.32;0.248;0.28;0.241;0.0;0.0;0.0;0.0;0.317;1.0;0.0;0.0;0.0
ENSMUST00000162146_90_90;0.196;0.147;0.145;0.399;0.411;0.0;0.229;0.425;0.217;0.0;0.405;0.138;0.0;0.72;0.681;0.223;0.234;0.202;0.209;0.223;0.234;0.202;0.208;0.219;0.197;0.275;0.385;0.0;0.086;0.0;1.0;0.439;0.165
ENSMUST00000162188_90_90;0.102;0.116;0.115;0.257;0.944;0.0;0.51;0.351;0.069;0.0;0.263;0.317;0.0;0.414;0.649;0.12;0.127;0.109;0.113;0.12;0.127;0.109;0.112;0.118;0.442;0.615;0.184;0.0;0.0;0.0;0.439;1.0;0.373
ENSMUST00000162497_90_90;0.034;0.045;0.044;0.098;0.397;0.0;0.746;0.133;0.0;0.0;0.1;0.857;0.0;0.157;0.245;0.046;0.05;0.042;0.044;0.046;0.05;0.042;0.044;0.046;0.852;0.611;0.048;0.0;0.0;0.0;0.165;0.373;1.0
