;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript43_ENSCGRG00000018457;0.207;0.199;0.207;0.207;0.211;0.091;0.092;0.964;0.854;0.964;0.916;0.964;0.964;0.98;1.0;0.867;0.978;0.881;0.881;0.915;0.834;0.943;0.809;0.811;0.943;0.886;0.943
transcript7_ENSCGRG00001010245;0.228;0.219;0.228;0.228;0.233;0.1;0.101;0.876;0.984;0.876;0.841;0.876;0.876;0.885;0.867;1.0;0.889;0.807;0.807;0.84;0.748;0.857;0.723;0.724;0.857;0.8;0.857
transcript29_ENSCGRG00001010245;0.203;0.195;0.203;0.203;0.207;0.089;0.09;0.986;0.876;0.986;0.937;0.986;0.986;0.996;0.978;0.889;1.0;0.902;0.902;0.936;0.855;0.965;0.831;0.832;0.965;0.907;0.965
transcript15_ENSPEMG00000024651;0.195;0.187;0.195;0.195;0.198;0.086;0.088;0.913;0.819;0.913;0.961;0.913;0.913;0.9;0.881;0.807;0.902;1.0;1.0;0.959;0.847;0.932;0.822;0.82;0.932;0.883;0.932
transcript24_ENSPEMG00000024651;0.195;0.187;0.195;0.195;0.198;0.086;0.088;0.913;0.819;0.913;0.961;0.913;0.913;0.9;0.881;0.807;0.902;1.0;1.0;0.959;0.847;0.932;0.822;0.82;0.932;0.883;0.932
transcript31_ENSPEMG00000024651;0.196;0.188;0.196;0.196;0.2;0.087;0.088;0.946;0.85;0.946;0.998;0.946;0.946;0.933;0.915;0.84;0.936;0.959;0.959;1.0;0.841;0.926;0.816;0.818;0.926;0.877;0.926
transcript5_ENSNGAG00000018584;0.178;0.17;0.178;0.178;0.179;0.08;0.08;0.87;0.762;0.87;0.843;0.87;0.87;0.853;0.834;0.748;0.855;0.847;0.847;0.841;1.0;0.883;0.972;0.97;0.883;0.844;0.883
transcript5_ENSSTOG00000019743;0.195;0.188;0.195;0.195;0.199;0.085;0.087;0.979;0.871;0.979;0.928;0.979;0.979;0.962;0.943;0.857;0.965;0.932;0.932;0.926;0.883;1.0;0.859;0.857;1.0;0.943;1.0
transcript17_ENSNGAG00000018584;0.151;0.143;0.151;0.151;0.153;0.053;0.053;0.845;0.737;0.845;0.818;0.845;0.845;0.828;0.809;0.723;0.831;0.822;0.822;0.816;0.972;0.859;1.0;0.998;0.859;0.819;0.859
transcript20_ENSNGAG00000018584;0.151;0.143;0.151;0.151;0.153;0.053;0.053;0.846;0.739;0.846;0.819;0.846;0.846;0.83;0.811;0.724;0.832;0.82;0.82;0.818;0.97;0.857;0.998;1.0;0.857;0.817;0.857
transcript12_ENSSTOG00000019743;0.195;0.188;0.195;0.195;0.199;0.085;0.087;0.979;0.871;0.979;0.928;0.979;0.979;0.962;0.943;0.857;0.965;0.932;0.932;0.926;0.883;1.0;0.859;0.857;1.0;0.943;1.0
transcript13_ENSSTOG00000019743;0.14;0.135;0.14;0.14;0.142;0.03;0.03;0.921;0.814;0.921;0.879;0.921;0.921;0.905;0.886;0.8;0.907;0.883;0.883;0.877;0.844;0.943;0.819;0.817;0.943;1.0;0.943
transcript14_ENSSTOG00000019743;0.195;0.188;0.195;0.195;0.199;0.085;0.087;0.979;0.871;0.979;0.928;0.979;0.979;0.962;0.943;0.857;0.965;0.932;0.932;0.926;0.883;1.0;0.859;0.857;1.0;0.943;1.0
