;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENST00000530692_90_90;0.216;0.299;0.187;0.231;0.0;0.239;0.623;0.0;0.254;0.281;0.517;0.33;1.0;0.0;0.0;0.0;0.255;0.446;0.0;0.0;0.256;0.275;0.236;0.252;0.48;0.0;0.259;0.231;0.255
ENST00000531558_90_90;0.093;0.087;0.105;0.1;0.096;0.104;0.0;0.164;0.041;0.0;0.0;0.0;0.0;1.0;0.139;0.323;0.109;0.0;1.0;0.323;0.099;0.039;0.114;0.097;0.0;0.0;0.111;0.1;0.109
ENST00000531930_90_90;0.326;0.346;0.363;0.345;0.783;0.36;0.0;0.823;0.351;0.0;0.0;0.0;0.0;0.139;1.0;0.341;0.376;0.0;0.139;0.341;0.323;0.229;0.369;0.317;0.0;0.371;0.36;0.324;0.352
ENST00000532041_90_90;0.163;0.186;0.183;0.174;0.252;0.181;0.0;0.403;0.099;0.0;0.0;0.0;0.0;0.323;0.341;1.0;0.19;0.0;0.323;1.0;0.156;0.044;0.177;0.153;0.0;0.308;0.172;0.156;0.169
ENST00000532317_90_90;0.767;0.878;0.835;0.88;0.293;0.913;0.33;0.311;0.883;0.338;0.459;0.311;0.255;0.109;0.376;0.19;1.0;0.178;0.109;0.19;0.855;0.688;0.922;0.873;0.491;0.136;0.946;0.853;0.966
ENST00000532603_90_90;0.133;0.151;0.172;0.164;0.0;0.17;0.419;0.0;0.201;0.343;0.384;0.21;0.446;0.0;0.0;0.0;0.178;1.0;0.0;0.0;0.164;0.2;0.185;0.162;0.266;0.0;0.181;0.164;0.178
ENST00000534412_90_90;0.093;0.087;0.105;0.1;0.096;0.104;0.0;0.164;0.041;0.0;0.0;0.0;0.0;1.0;0.139;0.323;0.109;0.0;1.0;0.323;0.099;0.039;0.114;0.097;0.0;0.0;0.111;0.1;0.109
ENST00000630913_90_90;0.163;0.186;0.183;0.174;0.252;0.181;0.0;0.403;0.099;0.0;0.0;0.0;0.0;0.323;0.341;1.0;0.19;0.0;0.323;1.0;0.156;0.044;0.177;0.153;0.0;0.308;0.172;0.156;0.169
ENSMUST00000049537_90_90;0.784;0.781;0.886;0.93;0.249;0.896;0.389;0.264;0.751;0.287;0.422;0.418;0.256;0.099;0.323;0.156;0.855;0.164;0.099;0.156;1.0;0.799;0.877;0.981;0.429;0.143;0.899;0.96;0.883
ENSMUST00000207084_90_90;0.665;0.623;0.755;0.8;0.207;0.765;0.433;0.167;0.766;0.348;0.474;0.506;0.275;0.039;0.229;0.044;0.688;0.2;0.039;0.044;0.799;1.0;0.716;0.784;0.515;0.068;0.7;0.8;0.688
ENSMUST00000207225_90_90;0.74;0.81;0.805;0.852;0.284;0.882;0.314;0.302;0.85;0.323;0.444;0.324;0.236;0.114;0.369;0.177;0.922;0.185;0.114;0.177;0.877;0.716;1.0;0.861;0.481;0.163;0.976;0.88;0.955
ENSMUST00000207484_90_90;0.8;0.799;0.905;0.95;0.244;0.914;0.382;0.259;0.77;0.305;0.415;0.41;0.252;0.097;0.317;0.153;0.873;0.162;0.097;0.153;0.981;0.784;0.861;1.0;0.447;0.141;0.883;0.979;0.901
ENSMUST00000208089_90_90;0.404;0.516;0.41;0.456;0.0;0.47;0.463;0.0;0.552;0.544;0.689;0.513;0.48;0.0;0.0;0.0;0.491;0.266;0.0;0.0;0.429;0.515;0.481;0.447;1.0;0.0;0.471;0.456;0.491
ENSMUST00000208684_90_90;0.117;0.133;0.132;0.126;0.468;0.13;0.0;0.452;0.154;0.0;0.0;0.0;0.0;0.0;0.371;0.308;0.136;0.0;0.0;0.308;0.143;0.068;0.163;0.141;0.0;1.0;0.16;0.143;0.155
ENSMUST00000208730_90_90;0.727;0.831;0.789;0.835;0.276;0.863;0.337;0.294;0.831;0.316;0.469;0.317;0.259;0.111;0.36;0.172;0.946;0.181;0.111;0.172;0.899;0.7;0.976;0.883;0.471;0.16;1.0;0.861;0.979
ENSMUST00000208742_90_90;0.816;0.779;0.923;0.969;0.249;0.933;0.36;0.265;0.785;0.312;0.394;0.419;0.231;0.1;0.324;0.156;0.853;0.164;0.1;0.156;0.96;0.8;0.88;0.979;0.456;0.143;0.861;1.0;0.88
ENSMUST00000209068_90_90;0.744;0.851;0.808;0.853;0.27;0.883;0.33;0.287;0.851;0.338;0.459;0.311;0.255;0.109;0.352;0.169;0.966;0.178;0.109;0.169;0.883;0.688;0.955;0.901;0.491;0.155;0.979;0.88;1.0
